graph_group,graph_id,weighted_alg,n_nodes,n_edges,weighted,directed,time,path_centrality,path_length,path_nodes_traversed,path,diam_centrality,diam,diam_nodes_traversed,diam_path
100-barabasi_albert,barabasi_albert_100_21,False,100,196,False,False,0.069347969,52,4,5,"[37, 0, 5, 10, 13]",32,6,7,"[88, 50, 81, 5, 0, 37, 94]"
100-barabasi_albert,barabasi_albert_100_22,False,100,196,False,False,0.06932621,47,5,6,"[59, 15, 0, 2, 98, 89]",38,6,7,"[95, 23, 4, 0, 15, 45, 67]"
100-barabasi_albert,barabasi_albert_100_23,False,100,196,False,False,0.067741086,53,4,5,"[26, 2, 1, 4, 27]",50,6,7,"[95, 27, 4, 1, 2, 30, 91]"
100-barabasi_albert,barabasi_albert_100_24,False,100,196,False,False,0.071106963,61,4,5,"[24, 3, 2, 6, 13]",46,6,7,"[62, 29, 15, 3, 14, 67, 73]"
100-barabasi_albert,barabasi_albert_100_25,False,100,196,False,False,0.068947898,46,3,4,"[6, 0, 2, 11]",43,6,7,"[49, 22, 0, 2, 11, 26, 89]"
100-barabasi_albert,barabasi_albert_100_26,False,100,196,False,False,0.069958976,50,3,4,"[5, 2, 8, 83]",48,5,6,"[34, 1, 2, 5, 31, 89]"
100-barabasi_albert,barabasi_albert_100_27,False,100,196,False,False,0.06922198,61,5,6,"[0, 2, 3, 5, 7, 71]",61,5,6,"[0, 2, 3, 5, 7, 71]"
100-barabasi_albert,barabasi_albert_100_28,False,100,196,False,False,0.068929106,52,3,4,"[6, 3, 4, 13]",50,5,6,"[80, 6, 3, 4, 13, 61]"
100-barabasi_albert,barabasi_albert_100_29,False,100,196,False,False,0.069818379,58,4,5,"[28, 4, 2, 7, 29]",54,6,7,"[89, 51, 4, 2, 18, 66, 87]"
100-barabasi_albert,barabasi_albert_100_3,False,100,196,False,False,0.068648336,47,5,6,"[17, 6, 2, 14, 47, 66]",47,6,7,"[79, 17, 6, 2, 14, 47, 66]"
100-barabasi_albert,barabasi_albert_100_4,False,100,196,False,False,0.067880407,56,4,5,"[93, 0, 2, 3, 10]",31,6,7,"[77, 22, 9, 7, 17, 63, 74]"
100-barabasi_albert,barabasi_albert_100_5,False,100,196,False,False,0.068134116,48,4,5,"[1, 3, 7, 10, 44]",42,6,7,"[88, 32, 7, 3, 4, 40, 68]"
100-barabasi_albert,barabasi_albert_100_6,False,100,196,False,False,0.06967925,58,4,5,"[80, 1, 2, 5, 41]",43,6,7,"[61, 35, 21, 2, 9, 60, 94]"
100-barabasi_albert,barabasi_albert_100_7,False,100,196,False,False,0.069768892,54,3,4,"[8, 2, 3, 21]",54,5,6,"[21, 3, 2, 8, 17, 76]"
100-barabasi_albert,barabasi_albert_100_8,False,100,196,False,False,0.069224051,47,3,4,"[6, 0, 2, 1]",41,6,7,"[80, 25, 4, 2, 1, 58, 93]"
100-barabasi_albert,barabasi_albert_100_9,False,100,196,False,False,0.069337649,52,3,4,"[0, 2, 1, 9]",52,5,6,"[58, 0, 2, 1, 9, 41]"
100-ws-10,ws_100_4_10_0,False,100,200,False,False,0.069612672,23,8,9,"[31, 86, 88, 5, 17, 18, 73, 71, 69]",22,11,12,"[42, 40, 39, 83, 85, 86, 88, 5, 62, 64, 65, 67]"
100-ws-10,ws_100_4_10_1,False,100,200,False,False,0.065666806,23,11,12,"[98, 96, 58, 57, 59, 23, 21, 34, 36, 38, 39, 41]",21,12,13,"[40, 42, 44, 18, 16, 14, 13, 11, 81, 2, 0, 98, 97]"
100-ws-10,ws_100_4_10_10,False,100,200,False,False,0.064355364,24,10,11,"[43, 48, 49, 65, 31, 33, 35, 81, 83, 85, 87]",21,11,12,"[44, 43, 48, 49, 65, 64, 66, 95, 94, 92, 90, 88]"
100-ws-10,ws_100_4_10_11,False,100,200,False,False,0.066719456,22,7,8,"[7, 5, 57, 58, 85, 97, 27, 25]",22,9,10,"[8, 7, 5, 57, 58, 85, 97, 27, 25, 23]"
100-ws-10,ws_100_4_10_12,False,100,200,False,False,0.064709413,22,7,8,"[1, 99, 52, 51, 37, 48, 32, 26]",21,9,10,"[17, 18, 11, 13, 82, 80, 36, 38, 40, 42]"
100-ws-10,ws_100_4_10_13,False,100,200,False,False,0.066854218,23,8,9,"[34, 33, 8, 6, 5, 3, 74, 73, 67]",23,10,11,"[16, 18, 49, 47, 6, 5, 3, 74, 73, 67, 69]"
100-ws-10,ws_100_4_10_14,False,100,200,False,False,0.07126209,24,8,9,"[60, 9, 8, 84, 44, 46, 29, 22, 20]",23,9,10,"[20, 22, 29, 46, 44, 84, 85, 86, 61, 62]"
100-ws-10,ws_100_4_10_15,False,100,200,False,False,0.066472324,27,10,11,"[61, 18, 19, 51, 82, 7, 8, 39, 96, 94, 92]",27,10,11,"[61, 18, 19, 51, 82, 7, 8, 39, 96, 94, 92]"
100-ws-10,ws_100_4_10_16,False,100,200,False,False,0.066924374,20,8,9,"[5, 7, 14, 13, 60, 62, 64, 31, 33]",20,10,11,"[99, 97, 95, 93, 53, 51, 50, 64, 31, 30, 28]"
100-ws-10,ws_100_4_10_17,False,100,200,False,False,0.071534181,25,7,8,"[29, 37, 61, 46, 14, 79, 81, 86]",18,10,11,"[5, 7, 9, 11, 12, 14, 46, 44, 64, 65, 66]"
100-ws-10,ws_100_4_10_18,False,100,200,False,False,0.065910916,21,8,9,"[0, 98, 96, 10, 12, 87, 85, 74, 72]",20,9,10,"[21, 23, 84, 85, 87, 12, 10, 96, 95, 97]"
100-ws-10,ws_100_4_10_19,False,100,200,False,False,0.068467705,22,9,10,"[11, 9, 77, 78, 69, 70, 21, 51, 53, 55]",20,10,11,"[6, 7, 5, 3, 1, 20, 22, 21, 51, 53, 55]"
100-ws-10,ws_100_4_10_2,False,100,200,False,False,0.067142918,23,12,13,"[47, 45, 43, 41, 32, 34, 3, 1, 99, 97, 95, 93, 91]",23,12,13,"[47, 45, 43, 41, 32, 34, 3, 1, 99, 97, 95, 93, 91]"
100-ws-10,ws_100_4_10_20,False,100,200,False,False,0.067709379,23,9,10,"[52, 50, 30, 29, 27, 92, 91, 80, 72, 70]",21,10,11,"[8, 6, 5, 23, 24, 25, 27, 92, 90, 88, 86]"
100-ws-10,ws_100_4_10_21,False,100,200,False,False,0.064060601,21,7,8,"[16, 14, 48, 46, 27, 25, 94, 96]",19,9,10,"[1, 99, 98, 96, 94, 25, 23, 21, 19, 17]"
100-ws-10,ws_100_4_10_22,False,100,200,False,False,0.063541677,21,8,9,"[75, 77, 79, 16, 97, 96, 51, 49, 47]",21,9,10,"[45, 47, 49, 51, 96, 97, 16, 70, 68, 66]"
100-ws-10,ws_100_4_10_23,False,100,200,False,False,0.067850633,28,12,13,"[13, 11, 18, 20, 22, 24, 26, 56, 64, 62, 60, 81, 82]",27,13,14,"[14, 16, 18, 20, 22, 24, 26, 56, 64, 62, 60, 81, 82, 84]"
100-ws-10,ws_100_4_10_24,False,100,200,False,False,0.068049434,22,8,9,"[47, 49, 59, 57, 0, 1, 21, 74, 72]",21,9,10,"[33, 34, 4, 2, 1, 21, 74, 72, 70, 68]"
100-ws-10,ws_100_4_10_25,False,100,200,False,False,0.065128099,22,8,9,"[68, 70, 72, 57, 59, 29, 30, 90, 88]",22,9,10,"[67, 68, 70, 72, 57, 59, 29, 30, 90, 88]"
100-ws-10,ws_100_4_10_26,False,100,200,False,False,0.068040468,22,8,9,"[14, 5, 7, 52, 60, 82, 80, 81, 70]",20,9,10,"[40, 11, 13, 20, 19, 21, 78, 79, 69, 71]"
100-ws-10,ws_100_4_10_27,False,100,200,False,False,0.066041885,22,7,8,"[12, 10, 37, 94, 92, 90, 56, 58]",21,9,10,"[19, 20, 29, 31, 70, 49, 47, 45, 43, 42]"
100-ws-10,ws_100_4_10_28,False,100,200,False,False,0.067582171,24,11,12,"[42, 40, 38, 36, 34, 54, 55, 66, 68, 15, 90, 92]",24,12,13,"[42, 40, 38, 36, 34, 54, 55, 66, 68, 15, 90, 92, 89]"
100-ws-10,ws_100_4_10_29,False,100,200,False,False,0.069650704,23,9,10,"[65, 5, 16, 14, 26, 28, 76, 83, 84, 86]",23,11,12,"[47, 45, 43, 41, 14, 16, 5, 4, 3, 95, 93, 92]"
100-ws-10,ws_100_4_10_3,False,100,200,False,False,0.068019208,26,12,13,"[33, 29, 27, 7, 9, 10, 12, 14, 15, 71, 69, 59, 61]",26,13,14,"[31, 29, 27, 7, 9, 10, 12, 14, 15, 71, 73, 66, 64, 62]"
100-ws-10,ws_100_4_10_4,False,100,200,False,False,0.06919891,24,11,12,"[55, 57, 59, 61, 69, 70, 99, 75, 88, 86, 84, 82]",23,12,13,"[54, 52, 50, 49, 39, 37, 72, 74, 75, 88, 86, 84, 83]"
100-ws-10,ws_100_4_10_5,False,100,200,False,False,0.068718342,22,9,10,"[5, 71, 73, 74, 76, 52, 54, 56, 20, 22]",22,11,12,"[11, 9, 7, 5, 71, 73, 64, 63, 41, 43, 45, 47]"
100-ws-10,ws_100_4_10_6,False,100,200,False,False,0.069303303,23,8,9,"[18, 14, 35, 33, 98, 99, 51, 53, 74]",23,11,12,"[22, 21, 19, 18, 14, 35, 33, 42, 43, 59, 61, 63]"
100-ws-10,ws_100_4_10_7,False,100,200,False,False,0.069700256,23,8,9,"[40, 42, 44, 15, 52, 53, 88, 86, 95]",23,9,10,"[40, 42, 44, 15, 52, 53, 88, 86, 84, 82]"
100-ws-10,ws_100_4_10_8,False,100,200,False,False,0.071498714,25,12,13,"[10, 12, 14, 16, 18, 20, 22, 62, 60, 50, 48, 91, 89]",25,12,13,"[10, 12, 14, 16, 18, 20, 22, 62, 60, 50, 48, 91, 89]"
100-ws-10,ws_100_4_10_9,False,100,200,False,False,0.067804206,25,11,12,"[60, 63, 76, 74, 25, 24, 5, 3, 1, 91, 93, 95]",25,13,14,"[41, 43, 45, 47, 48, 52, 53, 24, 5, 3, 1, 91, 93, 95]"
100-ws-20,ws_100_4_20_0,False,100,200,False,False,0.064919945,22,6,7,"[5, 26, 28, 30, 50, 52, 55]",21,8,9,"[99, 1, 3, 5, 26, 28, 30, 50, 51]"
100-ws-20,ws_100_4_20_1,False,100,200,False,False,0.064765286,25,5,6,"[4, 95, 93, 40, 14, 80]",23,7,8,"[54, 39, 40, 93, 95, 4, 70, 71]"
100-ws-20,ws_100_4_20_10,False,100,200,False,False,0.066140283,23,6,7,"[15, 98, 9, 8, 61, 73, 32]",22,8,9,"[18, 20, 22, 63, 62, 61, 73, 32, 34]"
100-ws-20,ws_100_4_20_11,False,100,200,False,False,0.064010287,23,7,8,"[99, 97, 90, 40, 39, 37, 22, 20]",19,8,9,"[33, 10, 12, 20, 22, 37, 36, 49, 50]"
100-ws-20,ws_100_4_20_12,False,100,200,False,False,0.0652988,28,8,9,"[71, 65, 60, 58, 56, 34, 94, 92, 90]",28,8,9,"[71, 65, 60, 58, 56, 34, 94, 92, 90]"
100-ws-20,ws_100_4_20_13,False,100,200,False,False,0.063872848,22,7,8,"[78, 79, 23, 21, 34, 43, 42, 44]",19,8,9,"[15, 17, 18, 21, 34, 43, 42, 44, 45]"
100-ws-20,ws_100_4_20_14,False,100,200,False,False,0.064724433,22,6,7,"[53, 11, 31, 32, 46, 86, 87]",20,7,8,"[2, 3, 74, 73, 80, 82, 48, 65]"
100-ws-20,ws_100_4_20_15,False,100,200,False,False,0.066535981,25,9,10,"[27, 28, 92, 90, 40, 38, 61, 60, 58, 56]",25,9,10,"[27, 28, 92, 90, 40, 38, 61, 60, 58, 56]"
100-ws-20,ws_100_4_20_16,False,100,200,False,False,0.063075091,21,5,6,"[63, 93, 91, 16, 14, 48]",20,7,8,"[98, 0, 2, 91, 90, 55, 33, 32]"
100-ws-20,ws_100_4_20_17,False,100,200,False,False,0.063453329,25,7,8,"[26, 92, 90, 62, 86, 84, 82, 47]",23,8,9,"[13, 11, 62, 90, 4, 2, 36, 38, 40]"
100-ws-20,ws_100_4_20_18,False,100,200,False,False,0.063889064,21,6,7,"[5, 65, 67, 37, 42, 92, 90]",19,8,9,"[55, 19, 20, 21, 74, 68, 66, 40, 39]"
100-ws-20,ws_100_4_20_19,False,100,200,False,False,0.064558021,23,6,7,"[7, 29, 27, 19, 17, 88, 60]",22,8,9,"[0, 99, 8, 94, 69, 67, 43, 41, 39]"
100-ws-20,ws_100_4_20_2,False,100,200,False,False,0.064291936,23,7,8,"[26, 34, 33, 62, 61, 72, 74, 76]",18,8,9,"[9, 11, 24, 25, 32, 33, 62, 89, 87]"
100-ws-20,ws_100_4_20_20,False,100,200,False,False,0.064577545,23,7,8,"[52, 3, 1, 37, 48, 19, 21, 25]",19,9,10,"[53, 55, 56, 48, 86, 85, 76, 65, 67, 69]"
100-ws-20,ws_100_4_20_21,False,100,200,False,False,0.065919228,23,9,10,"[7, 8, 10, 12, 22, 31, 30, 43, 44, 46]",23,12,13,"[49, 51, 53, 55, 57, 59, 61, 63, 7, 87, 89, 81, 79]"
100-ws-20,ws_100_4_20_22,False,100,200,False,False,0.064594984,22,5,6,"[96, 45, 72, 87, 89, 6]",19,8,9,"[61, 59, 58, 22, 49, 48, 81, 80, 78]"
100-ws-20,ws_100_4_20_23,False,100,200,False,False,0.065134934,23,6,7,"[55, 4, 5, 23, 31, 49, 16]",21,8,9,"[62, 63, 65, 51, 29, 31, 95, 97, 98]"
100-ws-20,ws_100_4_20_24,False,100,200,False,False,0.066443778,24,7,8,"[49, 58, 92, 94, 37, 71, 73, 75]",22,9,10,"[13, 15, 12, 94, 37, 71, 73, 75, 77, 79]"
100-ws-20,ws_100_4_20_25,False,100,200,False,False,0.062876396,23,7,8,"[46, 47, 24, 8, 6, 88, 70, 33]",19,8,9,"[12, 11, 9, 8, 6, 88, 70, 68, 67]"
100-ws-20,ws_100_4_20_26,False,100,200,False,False,0.066931101,25,9,10,"[95, 90, 86, 85, 70, 72, 74, 73, 54, 56]",25,10,11,"[56, 54, 73, 74, 72, 70, 85, 86, 90, 95, 93]"
100-ws-20,ws_100_4_20_27,False,100,200,False,False,0.065968637,23,9,10,"[56, 9, 11, 40, 38, 99, 66, 74, 72, 70]",23,9,10,"[56, 9, 11, 40, 38, 99, 66, 74, 72, 70]"
100-ws-20,ws_100_4_20_28,False,100,200,False,False,0.065030217,23,6,7,"[45, 12, 14, 16, 18, 96, 53]",22,8,9,"[34, 35, 75, 73, 8, 6, 16, 59, 57]"
100-ws-20,ws_100_4_20_29,False,100,200,False,False,0.0638905,21,6,7,"[60, 14, 16, 34, 32, 73, 43]",20,7,8,"[99, 98, 96, 16, 34, 32, 33, 84]"
100-ws-20,ws_100_4_20_3,False,100,200,False,False,0.063909333,21,7,8,"[16, 12, 11, 62, 61, 93, 83, 85]",19,9,10,"[34, 36, 37, 65, 46, 48, 49, 51, 52, 54]"
100-ws-20,ws_100_4_20_4,False,100,200,False,False,0.065431864,23,7,8,"[9, 83, 16, 15, 47, 46, 68, 70]",21,8,9,"[54, 52, 39, 37, 35, 46, 68, 70, 72]"
100-ws-20,ws_100_4_20_5,False,100,200,False,False,0.063856462,25,9,10,"[42, 44, 49, 50, 1, 77, 9, 64, 62, 60]",24,10,11,"[40, 42, 44, 49, 50, 1, 77, 9, 64, 62, 60]"
100-ws-20,ws_100_4_20_6,False,100,200,False,False,0.06386739,22,6,7,"[0, 98, 14, 16, 69, 82, 20]",22,7,8,"[26, 98, 14, 16, 69, 71, 72, 74]"
100-ws-20,ws_100_4_20_7,False,100,200,False,False,0.067234219,24,9,10,"[2, 0, 98, 82, 66, 19, 48, 50, 52, 54]",23,10,11,"[3, 1, 0, 98, 82, 66, 19, 48, 50, 51, 53]"
100-ws-20,ws_100_4_20_8,False,100,200,False,False,0.066640103,27,8,9,"[20, 25, 27, 43, 8, 9, 52, 59, 61]",24,10,11,"[37, 39, 41, 43, 8, 9, 52, 59, 61, 62, 64]"
100-ws-20,ws_100_4_20_9,False,100,200,False,False,0.06618556,25,9,10,"[0, 2, 18, 16, 27, 29, 30, 32, 53, 54]",25,9,10,"[0, 2, 18, 16, 27, 29, 30, 32, 53, 54]"
1000-barabasi_albert,barabasi_albert_1000_0,False,1000,1996,False,False,12.78611029,164,5,6,"[68, 5, 2, 6, 19, 400]",138,8,9,"[858, 289, 12, 3, 2, 10, 233, 601, 975]"
1000-barabasi_albert,barabasi_albert_1000_1,False,1000,1996,False,False,12.2435417,157,5,6,"[94, 3, 2, 1, 11, 373]",156,7,8,"[632, 71, 7, 2, 1, 6, 344, 459]"
1000-barabasi_albert,barabasi_albert_1000_10,False,1000,1996,False,False,12.87679908,173,5,6,"[46, 0, 2, 1, 24, 304]",172,7,8,"[763, 46, 0, 2, 1, 24, 439, 713]"
1000-barabasi_albert,barabasi_albert_1000_11,False,1000,1996,False,False,12.97415887,172,5,6,"[135, 9, 7, 4, 15, 483]",162,7,8,"[869, 105, 10, 7, 9, 23, 235, 623]"
1000-barabasi_albert,barabasi_albert_1000_12,False,1000,1996,False,False,13.27924052,197,6,7,"[20, 0, 4, 1, 31, 399, 435]",176,8,9,"[744, 594, 259, 7, 4, 1, 11, 577, 689]"
1000-barabasi_albert,barabasi_albert_1000_13,False,1000,1996,False,False,14.45262076,228,5,6,"[50, 8, 3, 2, 65, 164]",218,7,8,"[457, 348, 1, 2, 3, 48, 260, 296]"
1000-barabasi_albert,barabasi_albert_1000_14,False,1000,1996,False,False,13.12200664,191,5,6,"[28, 2, 4, 13, 29, 661]",137,8,9,"[856, 424, 168, 3, 2, 59, 329, 559, 903]"
1000-barabasi_albert,barabasi_albert_1000_15,False,1000,1996,False,False,13.96112355,235,6,7,"[205, 30, 1, 2, 18, 357, 760]",136,8,9,"[916, 882, 328, 8, 1, 20, 286, 612, 820]"
1000-barabasi_albert,barabasi_albert_1000_16,False,1000,1996,False,False,15.17717707,245,5,6,"[287, 11, 2, 7, 14, 118]",242,7,8,"[470, 235, 11, 2, 7, 14, 232, 837]"
1000-barabasi_albert,barabasi_albert_1000_17,False,1000,1996,False,False,12.84464191,173,6,7,"[144, 19, 0, 3, 7, 415, 751]",92,8,9,"[552, 303, 232, 456, 0, 2, 69, 349, 907]"
1000-barabasi_albert,barabasi_albert_1000_18,False,1000,1996,False,False,13.40955105,216,5,6,"[20, 1, 2, 18, 32, 612]",207,7,8,"[951, 202, 77, 1, 2, 0, 265, 438]"
1000-barabasi_albert,barabasi_albert_1000_19,False,1000,1996,False,False,14.03620802,205,6,7,"[311, 82, 3, 2, 1, 281, 629]",165,8,9,"[862, 420, 46, 39, 0, 2, 64, 550, 703]"
1000-barabasi_albert,barabasi_albert_1000_2,False,1000,1996,False,False,14.20349926,211,5,6,"[26, 1, 9, 5, 91, 465]",211,7,8,"[778, 26, 1, 9, 5, 91, 471, 614]"
1000-barabasi_albert,barabasi_albert_1000_20,False,1000,1996,False,False,13.98714185,240,5,6,"[105, 1, 2, 6, 21, 256]",207,7,8,"[825, 91, 28, 6, 2, 1, 105, 940]"
1000-barabasi_albert,barabasi_albert_1000_21,False,1000,1996,False,False,13.26559089,188,5,6,"[44, 2, 3, 7, 9, 621]",171,7,8,"[546, 117, 6, 3, 7, 28, 218, 663]"
1000-barabasi_albert,barabasi_albert_1000_22,False,1000,1996,False,False,14.35753833,224,5,6,"[38, 16, 2, 3, 40, 171]",217,7,8,"[942, 38, 16, 2, 3, 30, 541, 944]"
1000-barabasi_albert,barabasi_albert_1000_23,False,1000,1996,False,False,14.16472158,236,5,6,"[94, 10, 0, 2, 25, 246]",220,7,8,"[762, 489, 6, 2, 0, 10, 280, 635]"
1000-barabasi_albert,barabasi_albert_1000_24,False,1000,1996,False,False,14.14785375,226,5,6,"[173, 4, 2, 0, 19, 806]",223,7,8,"[607, 524, 4, 2, 0, 19, 806, 907]"
1000-barabasi_albert,barabasi_albert_1000_25,False,1000,1996,False,False,12.89289396,186,6,7,"[310, 15, 4, 2, 23, 39, 278]",169,7,8,"[920, 360, 19, 4, 15, 9, 194, 961]"
1000-barabasi_albert,barabasi_albert_1000_26,False,1000,1996,False,False,12.91404612,187,5,6,"[31, 5, 1, 4, 100, 823]",183,7,8,"[306, 89, 6, 4, 1, 3, 610, 836]"
1000-barabasi_albert,barabasi_albert_1000_27,False,1000,1996,False,False,12.41163061,166,5,6,"[245, 1, 15, 0, 29, 184]",161,7,8,"[819, 106, 15, 0, 3, 4, 639, 828]"
1000-barabasi_albert,barabasi_albert_1000_28,False,1000,1996,False,False,13.59789457,192,5,6,"[18, 1, 2, 0, 80, 415]",136,8,9,"[982, 522, 129, 10, 0, 29, 108, 635, 731]"
1000-barabasi_albert,barabasi_albert_1000_29,False,1000,1996,False,False,13.74345759,210,5,6,"[67, 5, 0, 7, 27, 147]",190,8,9,"[796, 272, 164, 2, 0, 5, 683, 721, 918]"
1000-barabasi_albert,barabasi_albert_1000_3,False,1000,1996,False,False,12.70214646,183,5,6,"[120, 7, 0, 9, 22, 180]",180,7,8,"[320, 120, 7, 0, 9, 22, 693, 904]"
1000-barabasi_albert,barabasi_albert_1000_4,False,1000,1996,False,False,13.00235184,210,5,6,"[230, 4, 2, 6, 8, 555]",209,7,8,"[683, 230, 4, 2, 6, 8, 714, 720]"
1000-barabasi_albert,barabasi_albert_1000_5,False,1000,1996,False,False,12.64852015,175,4,5,"[61, 2, 3, 9, 17]",171,7,8,"[437, 115, 9, 3, 2, 1, 214, 833]"
1000-barabasi_albert,barabasi_albert_1000_6,False,1000,1996,False,False,13.01361297,205,5,6,"[6, 1, 3, 7, 15, 360]",192,7,8,"[728, 372, 0, 3, 1, 9, 874, 936]"
1000-barabasi_albert,barabasi_albert_1000_7,False,1000,1996,False,False,13.56821112,191,4,5,"[117, 2, 3, 5, 15]",166,7,8,"[605, 144, 6, 3, 2, 159, 312, 554]"
1000-barabasi_albert,barabasi_albert_1000_8,False,1000,1996,False,False,14.04633599,211,4,5,"[85, 3, 2, 9, 43]",195,7,8,"[518, 311, 18, 2, 1, 38, 454, 889]"
1000-barabasi_albert,barabasi_albert_1000_9,False,1000,1996,False,False,14.08794173,198,5,6,"[15, 1, 5, 7, 53, 134]",177,7,8,"[862, 145, 3, 1, 5, 40, 154, 841]"
1000-ws-10,ws_1000_4_10_0,False,1000,2000,False,False,10.32587706,38,14,15,"[538, 537, 977, 975, 270, 46, 45, 344, 342, 341, 627, 702, 757, 759, 761]",34,16,17,"[7, 9, 11, 13, 15, 58, 56, 54, 53, 782, 784, 457, 974, 975, 977, 537, 538]"
1000-ws-10,ws_1000_4_10_1,False,1000,2000,False,False,10.30376016,37,13,14,"[92, 94, 2, 0, 343, 900, 257, 259, 520, 473, 661, 662, 548, 550]",34,17,18,"[923, 921, 920, 918, 916, 617, 652, 16, 14, 12, 10, 8, 949, 950, 952, 954, 956, 958]"
1000-ws-10,ws_1000_4_10_10,False,1000,2000,False,False,10.30656562,36,14,15,"[269, 271, 527, 529, 236, 234, 448, 447, 446, 25, 24, 174, 763, 706, 704]",35,17,18,"[190, 189, 188, 206, 208, 210, 212, 427, 425, 905, 904, 743, 744, 745, 747, 815, 813, 811]"
1000-ws-10,ws_1000_4_10_11,False,1000,2000,False,False,10.71628455,38,17,18,"[540, 542, 645, 646, 647, 649, 965, 963, 328, 326, 324, 233, 235, 454, 101, 99, 871, 873]",37,22,23,"[217, 219, 221, 223, 225, 229, 230, 231, 233, 324, 326, 327, 978, 976, 975, 578, 681, 680, 678, 402, 885, 886, 888]"
1000-ws-10,ws_1000_4_10_12,False,1000,2000,False,False,10.02039803,39,16,17,"[331, 333, 335, 337, 339, 341, 343, 344, 10, 615, 616, 682, 632, 297, 989, 987, 985]",39,17,18,"[329, 331, 333, 335, 337, 339, 341, 343, 344, 10, 615, 616, 682, 632, 630, 628, 643, 642]"
1000-ws-10,ws_1000_4_10_13,False,1000,2000,False,False,10.29028083,38,15,16,"[183, 181, 179, 385, 386, 81, 655, 654, 422, 423, 50, 798, 513, 515, 517, 519]",36,17,18,"[116, 114, 112, 553, 551, 163, 263, 137, 135, 134, 501, 499, 196, 194, 192, 190, 188, 186]"
1000-ws-10,ws_1000_4_10_14,False,1000,2000,False,False,9.856991113,37,15,16,"[710, 719, 721, 125, 127, 736, 735, 148, 150, 440, 204, 846, 844, 842, 840, 838]",34,17,18,"[10, 8, 7, 5, 399, 401, 403, 405, 369, 901, 646, 644, 643, 641, 323, 325, 327, 329]"
1000-ws-10,ws_1000_4_10_15,False,1000,2000,False,False,10.06597583,39,19,20,"[214, 212, 224, 226, 661, 659, 464, 462, 461, 612, 497, 757, 756, 754, 752, 750, 748, 746, 744, 742]",39,21,22,"[336, 338, 340, 342, 344, 346, 347, 889, 887, 885, 883, 166, 492, 491, 727, 729, 731, 733, 735, 737, 739, 741]"
1000-ws-10,ws_1000_4_10_16,False,1000,2000,False,False,10.3475616,39,16,17,"[878, 876, 31, 558, 556, 214, 425, 423, 421, 335, 980, 978, 976, 974, 972, 970, 968]",31,18,19,"[66, 68, 70, 71, 73, 75, 76, 890, 889, 923, 925, 578, 577, 579, 610, 612, 613, 615, 617]"
